4.9828 	WARNING 	Could not load the desired click sound file, instead using manually created inferior click
41.9007 	EXP 	Sound  started
42.3056 	EXP 	New trial (rep=0, index=7): {'wordList': 1, 'rightResponseFirst': False, 'leftStreamFlip': True, 'rightStreamFlip': True, 'cuePos': 0}
44.1973 	EXP 	window1: recordFrameIntervals = False
44.9039 	DATA 	Keypress: b
44.9140 	EXP 	Sound  started
45.0034 	DATA 	Keypress: u
45.0138 	EXP 	Sound  started
45.0862 	DATA 	Keypress: r
45.0973 	EXP 	Sound  started
45.2153 	DATA 	Keypress: s
45.2156 	EXP 	Sound  started
45.3049 	DATA 	Keypress: t
45.3149 	EXP 	Sound  started
45.8064 	DATA 	Keypress: space
45.8142 	EXP 	Sound  started
45.9337 	EXP 	Set  sound=G
45.9341 	EXP 	Set  sound=F
45.9341 	EXP 	Set Sound  volume=0.900
45.9341 	EXP 	Set Sound  volume=1.000
45.9341 	EXP 	Sound  started
46.3374 	EXP 	New trial (rep=1, index=0): {'wordList': 1, 'rightResponseFirst': False, 'leftStreamFlip': False, 'rightStreamFlip': False, 'cuePos': 0}
48.3648 	EXP 	window1: recordFrameIntervals = False
49.4151 	DATA 	Keypress: w
49.4155 	EXP 	Sound  started
49.4380 	DATA 	Keypress: a
49.4384 	DATA 	Keypress: s
49.4485 	EXP 	Sound  started
49.5059 	DATA 	Keypress: d
49.5148 	EXP 	Sound  started
49.5388 	DATA 	Keypress: f
49.5490 	EXP 	Sound  started
49.6321 	DATA 	Keypress: a
49.6325 	EXP 	Sound  started
49.6727 	DATA 	Keypress: grave
49.6815 	EXP 	Sound  started
49.7158 	DATA 	Keypress: d
49.7160 	EXP 	Sound  started
49.7345 	DATA 	Keypress: z
49.7657 	DATA 	Keypress: f
49.8346 	EXP 	Set  sound=G
49.8351 	EXP 	Set  sound=F
49.8352 	EXP 	Set Sound  volume=0.900
49.8352 	EXP 	Set Sound  volume=1.000
49.8352 	EXP 	Sound  started
50.2413 	EXP 	New trial (rep=1, index=1): {'wordList': 1, 'rightResponseFirst': True, 'leftStreamFlip': False, 'rightStreamFlip': False, 'cuePos': 0}
51.9154 	EXP 	window1: recordFrameIntervals = False
52.5725 	DATA 	Keypress: b
52.5816 	EXP 	Sound  started
52.8489 	DATA 	Keypress: a
52.8493 	EXP 	Sound  started
52.9485 	DATA 	Keypress: i
52.9489 	EXP 	Sound  started
53.0235 	DATA 	Keypress: t
53.0326 	EXP 	Sound  started
53.2995 	DATA 	Keypress: space
53.2999 	EXP 	Sound  started
53.4243 	DATA 	Keypress: space
53.4324 	EXP 	Sound  started
53.5538 	EXP 	Set  sound=G
53.5542 	EXP 	Set  sound=F
53.5542 	EXP 	Set Sound  volume=0.900
53.5542 	EXP 	Set Sound  volume=1.000
53.5542 	EXP 	Sound  started
53.9579 	EXP 	New trial (rep=1, index=2): {'wordList': 1, 'rightResponseFirst': True, 'leftStreamFlip': True, 'rightStreamFlip': True, 'cuePos': 0}
55.5821 	EXP 	window1: recordFrameIntervals = False
58.4994 	DATA 	Keypress: j
58.4998 	EXP 	Sound  started
58.6660 	DATA 	Keypress: j
58.6664 	EXP 	Sound  started
58.8000 	DATA 	Keypress: j
58.8003 	EXP 	Sound  started
58.9165 	DATA 	Keypress: j
58.9169 	EXP 	Sound  started
59.0564 	DATA 	Keypress: j
59.0661 	EXP 	Sound  started
59.1995 	DATA 	Keypress: j
59.1999 	EXP 	Sound  started
59.3183 	EXP 	Set  sound=G
59.3187 	EXP 	Set  sound=F
59.3188 	EXP 	Set Sound  volume=0.900
59.3188 	EXP 	Set Sound  volume=1.000
59.3188 	EXP 	Sound  started
59.7237 	EXP 	New trial (rep=1, index=3): {'wordList': 1, 'rightResponseFirst': False, 'leftStreamFlip': True, 'rightStreamFlip': True, 'cuePos': 0}
61.4662 	EXP 	window1: recordFrameIntervals = False
62.1500 	DATA 	Keypress: f
62.1504 	EXP 	Sound  started
62.2827 	DATA 	Keypress: a
62.2832 	EXP 	Sound  started
62.4072 	DATA 	Keypress: l
62.4162 	EXP 	Sound  started
62.6341 	DATA 	Keypress: s
62.6344 	EXP 	Sound  started
62.7338 	DATA 	Keypress: e
62.7341 	EXP 	Sound  started
63.3843 	DATA 	Keypress: space
63.3846 	EXP 	Sound  started
63.5032 	EXP 	Set  sound=G
63.5036 	EXP 	Set  sound=F
63.5036 	EXP 	Set Sound  volume=0.900
63.5036 	EXP 	Set Sound  volume=1.000
63.5036 	EXP 	Sound  started
63.9050 	EXP 	New trial (rep=1, index=4): {'wordList': 2, 'rightResponseFirst': True, 'leftStreamFlip': True, 'rightStreamFlip': True, 'cuePos': 0}
65.8831 	EXP 	window1: recordFrameIntervals = False
66.2006 	ERROR 	trialnum=12 ERROR,1 frames were longer than 20.8 ms apparently screen refreshes skipped, interframe durs were:[ 22.1] and was these frames: [23]
66.2012 	INFO 	flankers also=[ 17.4  22.1  11.1]
66.3344 	DATA 	Keypress: f
66.3348 	EXP 	Sound  started
66.6236 	DATA 	Keypress: o
66.6337 	EXP 	Sound  started
66.7171 	DATA 	Keypress: r
66.7174 	EXP 	Sound  started
66.8553 	DATA 	Keypress: t
66.8677 	EXP 	Sound  started
66.9914 	DATA 	Keypress: h
67.0005 	EXP 	Sound  started
67.3092 	DATA 	Keypress: space
67.3170 	EXP 	Sound  started
67.4369 	EXP 	Set  sound=G
67.4373 	EXP 	Set  sound=F
67.4373 	EXP 	Set Sound  volume=0.900
67.4373 	EXP 	Set Sound  volume=1.000
67.4374 	EXP 	Sound  started
67.8408 	EXP 	New trial (rep=1, index=5): {'wordList': 2, 'rightResponseFirst': True, 'leftStreamFlip': False, 'rightStreamFlip': False, 'cuePos': 0}
69.8178 	EXP 	window1: recordFrameIntervals = False
70.6176 	DATA 	Keypress: c
70.6180 	EXP 	Sound  started
70.7012 	DATA 	Keypress: o
70.7016 	EXP 	Sound  started
70.8011 	DATA 	Keypress: a
70.8014 	EXP 	Sound  started
70.8348 	DATA 	Keypress: s
70.8351 	EXP 	Sound  started
70.9611 	DATA 	Keypress: t
70.9673 	EXP 	Sound  started
71.2177 	DATA 	Keypress: space
71.2181 	EXP 	Sound  started
71.3369 	EXP 	Set  sound=G
71.3375 	EXP 	Set  sound=F
71.3375 	EXP 	Set Sound  volume=0.900
71.3375 	EXP 	Set Sound  volume=1.000
71.3375 	EXP 	Sound  started
71.7391 	EXP 	New trial (rep=1, index=6): {'wordList': 2, 'rightResponseFirst': False, 'leftStreamFlip': False, 'rightStreamFlip': False, 'cuePos': 0}
73.5848 	EXP 	window1: recordFrameIntervals = False
75.7089 	DATA 	Keypress: d
75.7176 	EXP 	Sound  started
76.1188 	DATA 	Keypress: a
76.1192 	EXP 	Sound  started
76.2349 	DATA 	Keypress: i
76.2353 	EXP 	Sound  started
76.3190 	DATA 	Keypress: r
76.3193 	EXP 	Sound  started
76.6025 	DATA 	Keypress: y
76.6028 	EXP 	Sound  started
77.6687 	DATA 	Keypress: space
77.6691 	EXP 	Sound  started
77.7875 	EXP 	Set  sound=G
77.7879 	EXP 	Set  sound=F
77.7879 	EXP 	Set Sound  volume=0.900
77.7879 	EXP 	Set Sound  volume=1.000
77.7879 	EXP 	Sound  started
78.1943 	EXP 	New trial (rep=1, index=7): {'wordList': 2, 'rightResponseFirst': False, 'leftStreamFlip': True, 'rightStreamFlip': True, 'cuePos': 0}
79.8856 	EXP 	window1: recordFrameIntervals = False
80.5913 	DATA 	Keypress: c
80.6025 	EXP 	Sound  started
81.0766 	DATA 	Keypress: l
81.0856 	EXP 	Sound  started
81.1859 	DATA 	Keypress: a
81.1863 	EXP 	Sound  started
81.2620 	DATA 	Keypress: m
81.2695 	EXP 	Sound  started
81.8699 	DATA 	Keypress: space
81.8703 	EXP 	Sound  started
82.0112 	DATA 	Keypress: space
82.0188 	EXP 	Sound  started
82.1389 	EXP 	Set  sound=G
82.1395 	EXP 	Set  sound=F
82.1395 	EXP 	Set Sound  volume=0.900
82.1395 	EXP 	Set Sound  volume=1.000
82.1395 	EXP 	Sound  started
82.5464 	EXP 	New trial (rep=2, index=0): {'wordList': 2, 'rightResponseFirst': False, 'leftStreamFlip': True, 'rightStreamFlip': True, 'cuePos': 0}
84.1692 	EXP 	window1: recordFrameIntervals = False
94.9596 	DATA 	Keypress: escape
94.9876 	INFO 	Finishing at 14:27 on 18 May 2015
94.9877 	ERROR 	user aborted experiment on keypress with trials done=16 of 161
